Date,Composants de coûts,Devise,Type de données,Source de données,Commerce extérieur,Indicateur,Marché,Produit,Groupe de produits,Système de production,Provenance du produit,Propriétés du produit,Sous-groupe de produits,Région de vente,Unité,Mode d’utilisation,Echelon de création de valeur_Détail,Echelon de création de valeur ,Prix
01-2024,TVA incluse,Francs,NA,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,Yogourt nature,Yogourt,Bio,Suisse,NA,Yogourt nature,NA,kg,NA,À partir du commerce de détail,Consommation,3.833708
01-2024,TVA incluse,Francs,NA,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,Sbrinz,Fromage,Conventionnel,Suisse,NA,Sbrinz,NA,kg,NA,À partir du commerce de détail,Consommation,25.582373
01-2024,TVA incluse,Francs,NA,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,Yogourt aux fruits,Yogourt,Conventionnel,Suisse,NA,"Yogourt, autres fruits",NA,kg,NA,À partir du commerce de détail,Consommation,3.651984
01-2024,TVA incluse,Francs,NA,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,Emmentaler surchoix,Fromage,Conventionnel,Suisse,NA,Emmentaler,NA,kg,NA,À partir du commerce de détail,Consommation,21.33245
01-2024,TVA incluse,Francs,NA,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,Brie CH 45%,Fromage,Bio,Suisse,NA,Brie CH 45%,NA,kg,NA,À partir du commerce de détail,Consommation,23.888889
01-2024,TVA incluse,Francs,NA,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,Gruyère surchoix,Fromage,Conventionnel,Suisse,NA,Gruyère,NA,kg,NA,À partir du commerce de détail,Consommation,23.147905
01-2024,TVA incluse,Francs,NA,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,Yogourt aux fruits,Yogourt,Bio,Suisse,NA,"Yogourt, autres fruits",NA,kg,NA,À partir du commerce de détail,Consommation,4.775527
01-2024,TVA incluse,Francs,NA,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,Mozzarella,Fromage,Conventionnel,Suisse,NA,Mozzarella,NA,kg,NA,À partir du commerce de détail,Consommation,11.158085
01-2024,TVA incluse,Francs,NA,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,Emmentaler,Fromage,Bio,Suisse,NA,Emmentaler,NA,kg,NA,À partir du commerce de détail,Consommation,23.787533
01-2024,TVA incluse,Francs,NA,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,Beurre à rôtir,Beurre,Conventionnel,Suisse,NA,Beurre à rôtir,NA,kg,NA,À partir du commerce de détail,Consommation,23.895684
