Date,Composants de coûts,Devise,Type de données,Source de données,Commerce extérieur,Indicateur,Marché,Produit,Groupe de produits,Système de production,Provenance du produit,Propriétés du produit,Sous-groupe de produits,Région de vente,Unité,Mode d’utilisation,Echelon de création de valeur_Détail,Echelon de création de valeur ,Prix
01-2024,TVA incluse,Centimes,Valeur réalisée,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,Lait transformé en fromage (conventionnel),Lait cru,Conventionnel,Région 5,NA,Lait cru CH,Suisse,kg,NA,Au départ de la ferme (échelon de la production),Production,81.830496
01-2024,TVA incluse,Centimes,Valeur réalisée,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,"Lait bio, total",Lait cru,Bio,Région 2,NA,Lait cru CH,Suisse,kg,NA,Au départ de la ferme (échelon de la production),Production,93.410291
01-2024,NA,Centimes,Prix indicatif,IPL,NA,Prix,Lait et produits laitiers,"Prix indicatif, segment A",Lait cru,Conventionnel,Suisse,NA,Lait cru CH,Suisse,kg,segment A,Production non définie,Production,79
01-2024,TVA incluse,Centimes,Valeur réalisée,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,"Lait bio, total",Lait cru,Bio,Région 4,NA,Lait cru CH,Suisse,kg,NA,Au départ de la ferme (échelon de la production),Production,90.300158
01-2024,TVA incluse,Centimes,Valeur réalisée,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,Lait transformé artisanalement en fromage (conventionnel),Lait cru,Conventionnel,Suisse,NA,Lait cru CH,Suisse,kg,NA,Au départ de la ferme (échelon de la production),Production,81.663383
01-2024,TVA incluse,Centimes,Valeur réalisée,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,Lait transformé en fromage (conventionnel),Lait cru,Conventionnel,Région 1,NA,Lait cru CH,Suisse,kg,NA,Au départ de la ferme (échelon de la production),Production,88.284719
01-2024,TVA incluse,Centimes,Valeur réalisée,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,Lait transformé artisanalement en fromage (conventionnel),Lait cru,Conventionnel,Région 1,NA,Lait cru CH,Suisse,kg,NA,Au départ de la ferme (échelon de la production),Production,90.51042
01-2024,TVA incluse,Centimes,Valeur réalisée,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,"Lait CH, total",Lait cru,NA,Suisse,NA,Lait cru CH,Suisse,kg,NA,Au départ de la ferme (échelon de la production),Production,75.620401
01-2024,TVA incluse,Centimes,Valeur réalisée,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,Lait de centrale (conventionnel),Lait cru,Conventionnel,Région 1,NA,Lait cru CH,Suisse,kg,NA,Au départ de la ferme (échelon de la production),Production,72.593215
01-2024,NA,Centimes,Prix indicatif,IPL,NA,Prix,Lait et produits laitiers,"Prix indicatif, segment B",Lait cru,Conventionnel,Suisse,NA,Lait cru CH,Suisse,kg,segment B,Production non définie,Production,56
01-2024,TVA incluse,Centimes,Valeur réalisée,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,Lait de centrale (conventionnel),Lait cru,Conventionnel,Région 4,NA,Lait cru CH,Suisse,kg,NA,Au départ de la ferme (échelon de la production),Production,69.622275
01-2024,TVA incluse,Centimes,Valeur réalisée,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,Lait de centrale (conventionnel),Lait cru,Conventionnel,Région 5,NA,Lait cru CH,Suisse,kg,NA,Au départ de la ferme (échelon de la production),Production,67.203201
01-2024,TVA incluse,Centimes,Valeur réalisée,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,"Lait CH, total",Lait cru,NA,Région 2,NA,Lait cru CH,Suisse,kg,NA,Au départ de la ferme (échelon de la production),Production,73.592509
01-2024,Hors TVA,Centimes,Valeur réalisée,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,"Lait CH, total",Lait cru,NA,Suisse,NA,Lait cru CH,Suisse,kg,NA,Au départ de la ferme (échelon de la production),Production,73.704095
01-2024,TVA incluse,Centimes,Valeur réalisée,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,"Lait bio, total",Lait cru,Bio,Région 1,NA,Lait cru CH,Suisse,kg,NA,Au départ de la ferme (échelon de la production),Production,91.855982
01-2024,TVA incluse,Centimes,Valeur réalisée,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,"Lait CH, total",Lait cru,NA,Région 4,NA,Lait cru CH,Suisse,kg,NA,Au départ de la ferme (échelon de la production),Production,73.608868
01-2024,TVA incluse,Centimes,Valeur réalisée,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,Lait de centrale (conventionnel),Lait cru,Conventionnel,Région 3,NA,Lait cru CH,Suisse,kg,NA,Au départ de la ferme (échelon de la production),Production,70.578008
01-2024,TVA incluse,Centimes,Valeur réalisée,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,Lait transformé artisanalement en fromage (conventionnel),Lait cru,Conventionnel,Région 2,NA,Lait cru CH,Suisse,kg,NA,Au départ de la ferme (échelon de la production),Production,74.710615
01-2024,TVA incluse,Centimes,Valeur réalisée,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,Lait transformé artisanalement en fromage (conventionnel),Lait cru,Conventionnel,Région 4,NA,Lait cru CH,Suisse,kg,NA,Au départ de la ferme (échelon de la production),Production,76.504851
01-2024,TVA incluse,Centimes,Valeur réalisée,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,"Lait conventionnel, total",Lait cru,Conventionnel,Suisse,NA,Lait cru CH,Suisse,kg,NA,Au départ de la ferme (échelon de la production),Production,74.265611
01-2024,TVA incluse,Centimes,Valeur réalisée,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,Lait transformé artisanalement en fromage (conventionnel),Lait cru,Conventionnel,Région 5,NA,Lait cru CH,Suisse,kg,NA,Au départ de la ferme (échelon de la production),Production,81.903918
01-2024,TVA incluse,Centimes,Valeur réalisée,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,"Lait bio, total",Lait cru,Bio,Suisse,NA,Lait cru CH,Suisse,kg,NA,Au départ de la ferme (échelon de la production),Production,91.820345
01-2024,TVA incluse,Centimes,Valeur réalisée,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,Segment B,Lait cru,Conventionnel,Suisse,NA,Lait cru CH,Suisse,kg,segment B,Au départ de la ferme (échelon de la production),Production,55.988654
01-2024,TVA incluse,Centimes,Valeur réalisée,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,Lait transformé en fromage (conventionnel),Lait cru,Conventionnel,Région 4,NA,Lait cru CH,Suisse,kg,NA,Au départ de la ferme (échelon de la production),Production,73.583759
01-2024,TVA incluse,Centimes,Valeur réalisée,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,"Lait CH, total",Lait cru,NA,Région 3,NA,Lait cru CH,Suisse,kg,NA,Au départ de la ferme (échelon de la production),Production,73.023852
01-2024,NA,Centimes,Prix indicatif,IPL,NA,Prix,Lait et produits laitiers,"Lait conventionnel, total",Lait cru,Conventionnel,Suisse,NA,Lait cru CH,Suisse,kg,segment B,Production non définie,Production,56
12-2023,TVA incluse,Centimes,Valeur réalisée,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,"Lait CH, total",Lait cru,NA,Région 1,NA,Lait cru CH,Suisse,kg,NA,Au départ de la ferme (échelon de la production),Production,84.196835
12-2023,TVA incluse,Centimes,Valeur réalisée,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,Lait transformé en fromage (conventionnel),Lait cru,Conventionnel,Région 5,NA,Lait cru CH,Suisse,kg,NA,Au départ de la ferme (échelon de la production),Production,80.437065
12-2023,TVA incluse,Centimes,Valeur réalisée,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,Segment B,Lait cru,Conventionnel,Suisse,NA,Lait cru CH,Suisse,kg,segment B,Au départ de la ferme (échelon de la production),Production,56.734246
12-2023,NA,Centimes,Prix indicatif,IPL,NA,Prix,Lait et produits laitiers,"Lait conventionnel, total",Lait cru,Conventionnel,Suisse,NA,Lait cru CH,Suisse,kg,segment B,Production non définie,Production,56.9
12-2023,TVA incluse,Centimes,Valeur réalisée,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,Lait transformé artisanalement en fromage (conventionnel),Lait cru,Conventionnel,Région 1,NA,Lait cru CH,Suisse,kg,NA,Au départ de la ferme (échelon de la production),Production,91.748771
12-2023,TVA incluse,Centimes,Valeur réalisée,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,"Lait bio, total",Lait cru,Bio,Région 1,NA,Lait cru CH,Suisse,kg,NA,Au départ de la ferme (échelon de la production),Production,93.268873
12-2023,TVA incluse,Centimes,Valeur réalisée,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,"Lait bio, total",Lait cru,Bio,Région 2,NA,Lait cru CH,Suisse,kg,NA,Au départ de la ferme (échelon de la production),Production,93.876501
